asset_id,symbol,theme_id,as_of_date,chain_layer,role_in_chain,revenue_cagr_low,revenue_cagr_high,horizon_years,margin_direction,pricing_power,economics_type,current_growth_anchor,growth_basis,evidence_basis,confidence,key_uncertainty,falsifier,next_checkpoint
mod,MOD,age-of-electricity,2026-08-08,thermal-white-space,Data-centre cooling equipment; a mix shift away from vehicular thermal,7,12,10,expanding,medium,mix-shift-in-progress,Not yet verified from a primary filing in this store,The interesting variable is mix rather than growth. The data-centre cooling segment can grow quickly while the legacy vehicular business shrinks; the blended rate understates the transition and overstates the stability.,screen_inference,low,Whether the legacy business declines faster than the new one grows — the transition can be directionally right and still produce flat consolidated revenue for years.,Climate Solutions growth stalling or vehicular decline accelerating enough to hold consolidated revenue flat.,First rotation review; segment growth rates and the data-centre share of Climate Solutions
pwr,PWR,age-of-electricity,2026-08-08,build-and-install,Electric infrastructure construction; owns the scarce skilled labour force,9,13,10,stable-to-expanding,medium-high,scarce-labour-moat,"Q2 2026 revenue $9.6B; GAAP diluted EPS $2.96, adjusted $4.24; full-year 2026 expectations raised across all metrics",The genuine moat is a trained union linemen workforce that cannot be hired quickly at any price. That is why this layer holds margin in a boom instead of competing it away. Growth tracks utility and transmission capital spending with a labour-scarcity premium.,issuer_release,medium,Construction is still a contracting business. Fixed-price exposure and project execution can convert a demand boom into a margin problem.,Margin compression alongside revenue growth — the classic contractor failure — or backlog growth without margin improvement.,Q3 2026 backlog and segment margin; commentary on labour availability
eme,EME,age-of-electricity,2026-08-08,build-and-install,Mechanical and electrical construction; data centres a rising share of the mix,7,11,10,stable,medium,execution-driven,Not yet verified from a primary filing in this store,"Grows with non-residential electrical and mechanical construction, with data centres pulling the mix. Historically disciplined bidding and strong returns on capital argue for the upper half; the sector's cyclicality caps the range.",screen_inference,low,Whether the data-centre share is large enough to decouple results from ordinary non-residential construction.,Remaining backlog growth concentrating outside data centres while the theme thesis assumes the opposite.,First rotation review; remaining performance obligations by end market
myrg,MYRG,age-of-electricity,2026-08-08,build-and-install,Transmission and distribution contracting at small scale,8,12,10,stable-to-thin,low-medium,price-taker,Not yet verified from a primary filing in this store,"Volume growth should follow grid spending, but this is the weakest economic position in the twenty: a subcontractor bidding for work against other subcontractors. Included because the layer must be represented, not because the economics are attractive.",screen_inference,low,Whether thin contracting margins can expand at all in a boom or whether the benefit accrues entirely to the customer.,Revenue growing while operating margin stays flat or falls — which would confirm it is a price-taker and does not belong at candidate tier.,First rotation review; operating margin trend against revenue growth
ceg,CEG,age-of-electricity,2026-08-08,merchant-generation,Existing nuclear fleet re-contracted to data centres at higher prices,4,8,10,expanding,high,recontracting-not-volume,"Q2 2026: 920 MW of new power agreements signed at an 18.5-year average duration; over 5,650 MW of long-term clean energy agreements; about 1 GW of nuclear uprates and $3.9B of capital spending planned; FY26 guidance raised","Revenue growth is the wrong lens here and the low range says so. The plants already exist, so the value comes from re-contracting output at prices set by a short market — earnings and cash flow per share should grow materially faster than revenue. Uprates add roughly 1 GW without a new build.",issuer_release,medium,"Regulatory permission, not demand. Long-duration contracts are only as good as the interconnection arrangements regulators allow.","Contract durations shortening, realised prices flattening, or regulators restricting data-centre co-location arrangements.",Additional PPA announcements and their duration; uprate execution against the ~1 GW plan
vst,VST,age-of-electricity,2026-08-08,merchant-generation,Merchant fleet across ERCOT and PJM sold into a short capacity market,3,7,10,expanding,high-but-price-dependent,merchant-price-bet,"20-year power purchase agreements for more than 2,600 MW of nuclear output, comprising 2,176 MW of operating generation and 433 MW of planned uprates","As with Constellation, revenue understates it: the fleet is built, so the operating leverage runs through margin and per-share cash flow rather than the top line. Recognise what this is — a bet on scarce capacity pricing, which is directional both ways.",issuer_release,medium,"A merchant generator's earnings are a function of power prices. The same scarcity that lifts them now would reverse if the load forecasts prove too high, and the exposure is not hedged out beyond the contracted portion.",Forward capacity or energy prices falling materially while the uncontracted share of the fleet stays large.,Share of output contracted versus merchant; PJM and ERCOT forward prices
tln,TLN,age-of-electricity,2026-08-08,merchant-generation,Nuclear capacity supplying a hyperscaler campus directly,3,8,10,uncertain,contingent-on-regulation,regulatory-outcome-bet,"FERC rejected the amended interconnection agreement that would have expanded behind-the-meter load at the Susquehanna site, on a 2-1 vote; the arrangement is moving to a front-of-the-meter structure",The widest and least confident range in the twenty. The economics depend less on electricity demand than on which interconnection structure regulators permit — and the store now holds direct evidence that the preferred structure was refused.,issuer_and_regulator,low,Whether front-of-the-meter economics are materially worse than the behind-the-meter arrangement originally contemplated. The store cannot answer this.,Further adverse FERC rulings or disclosed contract economics materially below the original behind-the-meter terms.,Front-of-the-meter transition completing; disclosed economics of the revised structure
nee,NEE,age-of-electricity,2026-08-08,regulated-rate-base,Largest regulated utility platform plus renewables development; merging with Dominion,5,8,10,regulated,none-in-the-ordinary-sense,regulated-return-on-rate-base,"Proposed combination with Dominion Energy announced May 2026, regulatory applications filed 2026-07-15, including $2.25B of bill credits for Dominion customers; expected to close late 2027 and to create the largest US regulated electric utility at about 10 million customer accounts","A regulated utility does not have pricing power; it earns an allowed return on invested capital. Growth is therefore rate base growth, and load growth matters because it justifies more capital, not because it raises price. The ceiling is political tolerance for customer bills — which the $2.25B of bill credits prices explicitly.",issuer_and_filing,medium,Merger approval risk across four state jurisdictions and whether allowed returns hold as rate base grows. A larger utility is more visible politically.,Merger blocked or materially conditioned; allowed ROE reduced; load growth met by co-located private generation that never enters rate base.,State regulatory decisions on the merger; approved capital plans and allowed ROE
aep,AEP,age-of-electricity,2026-08-08,regulated-rate-base,Regulated transmission and distribution with large disclosed data-centre load,5,8,10,regulated,none-in-the-ordinary-sense,regulated-return-on-rate-base,Not yet verified from a primary filing in this store,Same mechanism as NextEra: earnings follow rate base and allowed return. Large data-centre interconnection requests in its service territories are the reason the capital plan can grow faster than population or GDP.,screen_inference,low,"Who pays for the interconnection. If large-load tariffs shift cost to data centres, the utility earns less than the headline load growth implies.",Regulators disallowing capital or approving large-load tariffs that move investment off the utility's balance sheet.,First rotation review; approved capital plan and large-load tariff outcomes
ccj,CCJ,age-of-electricity,2026-08-08,fuel-cycle,Uranium supply and enrichment; fuel for the firm low-carbon capacity being contracted,8,14,10,expanding,high-but-commodity-priced,contracted-commodity,Not yet verified from a primary filing in this store,"Every nuclear PPA signed with a data centre implies fuel demand for decades, and tier-one uranium supply cannot be brought online quickly. Growth comes from contracted volumes repricing to higher realised prices rather than from new demand appearing suddenly.",screen_inference,low,"It is still a commodity producer. Realised price depends on the contracting cycle, and mine execution has historically been the harder half.",Realised prices flattening while volumes stall; production guidance cuts at the tier-one assets.,First rotation review; contract book average realised price and production against guidance
