signal_id,scope,subject_id,source,query,unit,window_days,lead_time_band,what_it_measures,caveat,source_url,authored_date
sig-quantum-github,candidate,fault-tolerant-quantum,github,topic:quantum-computing,repos_created,90,1-3 years (builder adoption),New quantum computing repositories.,"Heavily weighted towards tutorials, coursework and simulator experiments rather than production work. Volume here has historically been decoupled from commercial deployment. Year-over-year is deliberately not computed for this source: GitHub prunes deleted and dormant repositories from its search index, so a past window returns only survivors and a naive comparison overstates growth several-fold. The level is recorded; the comparison becomes available from this store's own history after a year.",https://github.com/topics/quantum-computing,2026-08-08
sig-quantum-pypi,candidate,fault-tolerant-quantum,pypi,qiskit,downloads_month,30,1-3 years (builder adoption),Downloads of the dominant quantum SDK.,"Almost all of this runs against simulators rather than hardware, so it measures interest in learning quantum programming, not demand for quantum computation.",https://pypistats.org/packages/qiskit,2026-08-08
sig-neural-arxiv,candidate,neural-interfaces,arxiv,q-bio.NC,submissions,90,3-8 years (scientific throughput),Neurons and cognition research volume.,"Thin, and dominated by computational neuroscience that has no interface component. A weak proxy retained until a better one is identified.",https://arxiv.org/list/q-bio.NC/recent,2026-08-08
sig-neural-github,candidate,neural-interfaces,github,topic:bci,repos_created,90,1-3 years (builder adoption),New brain-computer interface repositories.,"Very low volume, and concentrated in consumer EEG headset hobby projects rather than implantable work. It does not observe the part of the field that matters. Year-over-year is deliberately not computed for this source: GitHub prunes deleted and dormant repositories from its search index, so a past window returns only survivors and a naive comparison overstates growth several-fold. The level is recorded; the comparison becomes available from this store's own history after a year.",https://github.com/topics/bci,2026-08-08
sig-neural-pypi,candidate,neural-interfaces,pypi,mne,downloads_month,30,1-3 years (builder adoption),Downloads of the standard neurophysiology analysis library.,Tracks academic neuroscience broadly. Its relationship to interface commercialisation is indirect at best.,https://pypistats.org/packages/mne,2026-08-08
sig-storage-github,candidate,long-duration-storage,github,topic:energy-storage,repos_created,90,1-3 years (builder adoption),"New energy storage repositories, mostly modelling and optimisation tooling.","Software activity is a poor proxy for a theme whose constraints are chemical and industrial. Included for completeness rather than conviction. Year-over-year is deliberately not computed for this source: GitHub prunes deleted and dormant repositories from its search index, so a past window returns only survivors and a naive comparison overstates growth several-fold. The level is recorded; the comparison becomes available from this store's own history after a year.",https://github.com/topics/energy-storage,2026-08-08
sig-storage-pypi,candidate,long-duration-storage,pypi,pybamm,downloads_month,30,1-3 years (builder adoption),"Downloads of the battery modelling framework, as a proxy for the number of people simulating cell behaviour.",Small and research-dominated. Movement will be driven by academic term dates as much as by anything commercial.,https://pypistats.org/packages/pybamm,2026-08-08
sig-calibration-arxiv,theme_calibration,ai-physical-infrastructure,arxiv,cs.LG,submissions,90,3-8 years (scientific throughput),"Machine learning research volume, tracked not as a candidate but as a calibration line. Every candidate above should be read against this: it is what a confirmed exponential looks like in the same units, on the same axis.","Now so large that it is decelerating in percentage terms simply through base effects. A mature exponential flattens on a ratio chart long before it stops mattering, which is a caution against reading a falling growth rate as a failing theme.",https://arxiv.org/list/cs.LG/recent,2026-08-08
sig-calibration-npm,theme_calibration,ai-physical-infrastructure,npm,ai,downloads_month,30,1-3 years (builder adoption),"Downloads of the dominant JavaScript AI SDK, as the builder-adoption calibration line.",A single vendor's package standing in for an ecosystem. It reflects that vendor's competitive position as much as the field's growth.,https://www.npmjs.com/package/ai,2026-08-08
sig-calibration-pypi,theme_calibration,ai-physical-infrastructure,pypi,langchain,downloads_month,30,1-3 years (builder adoption),"Downloads of the most widely installed LLM application framework, as the Python-side calibration line.","Framework fashion moves faster than the underlying field, so a decline here may mean developers moved to a competitor rather than away from the theme.",https://pypistats.org/packages/langchain,2026-08-08
sig-fringe-bitcoin,fringe,bitcoin-2009,github_repo,bitcoin/bitcoin,stars,0,calibration,"Cumulative stars and last-push date on the original artifact. Included as the fringe calibration line: this is what the reference case looks like today, seventeen years after it was dismissed on a mailing list.","A cumulative count only ever rises, so the level is meaningless and only the rate of change carries information. The last-push date is the more useful field — it answers whether the artifact is still alive, which is the question that mattered in 2010.",https://github.com/bitcoin/bitcoin,2026-08-08
sig-fringe-riscv,fringe,risc-v-2010,github_repo,riscv/riscv-isa-manual,stars,0,calibration,"The second calibration line, showing the slow version of the pattern.","Specification repositories accumulate stars from people bookmarking a reference document rather than building on it, so this overstates activity relative to a code repository.",https://github.com/riscv/riscv-isa-manual,2026-08-08
sig-fringe-fhe-concrete,fringe,fully-homomorphic-encryption,github_repo,zama-ai/concrete,stars,0,1-3 years (builder adoption),Activity on one of the leading FHE implementations. Watch the push date at least as closely as the star count.,"A single vendor s library. Its decline could mean the field is fading or that developers moved to a competing implementation, and the star count alone cannot distinguish those.",https://github.com/zama-ai/concrete,2026-08-08
sig-fringe-fhe-seal,fringe,fully-homomorphic-encryption,github_repo,microsoft/SEAL,stars,0,1-3 years (builder adoption),"A second FHE implementation, tracked alongside the first so that a divergence between them can be distinguished from a decline in the field.",Corporate-backed research libraries can remain nominally maintained long after internal interest has ended. Commit frequency is a better liveness test than the existence of recent commits.,https://github.com/microsoft/SEAL,2026-08-08
sig-fringe-fhe-arxiv,fringe,fully-homomorphic-encryption,arxiv,cs.CR,submissions,90,3-8 years (scientific throughput),"Cryptography and security research volume, as the upstream line for the FHE entry.","Far broader than FHE, so it will barely move on FHE-specific developments. It functions as a denominator: FHE mattering would show as this category growing unusually, not as this category growing.",https://arxiv.org/list/cs.CR/recent,2026-08-08
